----------------------------------------------------------------------
Marvellous Process Log
Log file created at : Sun Jun  2 09:48:10 2024
----------------------------------------------------------------------
{'pid': 0, 'name': 'System Idle Process', 'username': 'NT AUTHORITY\\SYSTEM'} 
{'pid': 7508, 'name': 'dasHost.exe', 'username': None} 
{'pid': 7620, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 7624, 'name': 'svchost.exe', 'username': None} 
{'pid': 8160, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 8280, 'name': 'svchost.exe', 'username': None} 
{'pid': 8424, 'name': 'TextInputHost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 8540, 'name': 'git.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 8636, 'name': 'ShellExperienceHost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 8696, 'name': 'sihost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 8828, 'name': 'uihost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 8844, 'name': 'AggregatorHost.exe', 'username': None} 
{'pid': 8868, 'name': 'ctfmon.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 8928, 'name': 'unsecapp.exe', 'username': None} 
{'pid': 8952, 'name': 'SystemSettingsBroker.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 9296, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 9400, 'name': 'AsusOptimizationStartupTask.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 9444, 'name': 'svchost.exe', 'username': None} 
{'pid': 9452, 'name': 'mc-neo-host.exe', 'username': None} 
{'pid': 9460, 'name': 'svchost.exe', 'username': None} 
{'pid': 9508, 'name': 'svchost.exe', 'username': None} 
{'pid': 9676, 'name': 'audiodg.exe', 'username': None} 
{'pid': 9760, 'name': 'svchost.exe', 'username': None} 
{'pid': 9832, 'name': 'AppVShNotify.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 9836, 'name': 'ArmourySwAgent.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 9940, 'name': 'igfxEMN.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 9944, 'name': 'svchost.exe', 'username': None} 
{'pid': 9952, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 9996, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10108, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10144, 'name': 'svchost.exe', 'username': None} 
{'pid': 10288, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10300, 'name': 'OpenConsole.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10324, 'name': 'mc-fw-host.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10560, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10612, 'name': 'Zoom.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10648, 'name': 'taskhostw.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10668, 'name': 'AsMonitorControl.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10684, 'name': 'svchost.exe', 'username': None} 
{'pid': 10708, 'name': 'AsHotplugCtrl.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10744, 'name': 'AcPowerNotification.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10764, 'name': 'ArmourySocketServer.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 10948, 'name': 'asus_framework.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 11032, 'name': 'ASUSSmartDisplayControl.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 11196, 'name': 'asus_framework.exe', 'username': None} 
{'pid': 11312, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 11376, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 11380, 'name': 'explorer.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 11412, 'name': 'svchost.exe', 'username': None} 
{'pid': 11780, 'name': 'ArmouryHtmlDebugServer.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 11984, 'name': 'msedge.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 12068, 'name': 'UserOOBEBroker.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 12188, 'name': 'svchost.exe', 'username': None} 
{'pid': 12220, 'name': 'WmiPrvSE.exe', 'username': None} 
{'pid': 12356, 'name': 'RtkAudUService64.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 12416, 'name': 'AsusOSD.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 12432, 'name': 'AnyDesk.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 12732, 'name': 'Code.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 12740, 'name': 'SearchIndexer.exe', 'username': None} 
{'pid': 12748, 'name': 'svchost.exe', 'username': None} 
{'pid': 13192, 'name': 'svchost.exe', 'username': None} 
{'pid': 13264, 'name': 'AutoConnectHelper.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 13316, 'name': 'RuntimeBroker.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 13540, 'name': 'WidgetService.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 13636, 'name': 'svchost.exe', 'username': 'MAHESH\\mahes'} 
{'pid': 13648, 'name': 'svchost.exe', 'username': None} 
